"objectid","iso3cd","romnam","m49code","species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality_reg","quality_glo"
1,"AFG","Afghanistan","4","Eukaryota",NA,12,"Plantation_Light",4.50849789769694e-12,0,1.14612908032482e-15,0,8.64585221207136e-12,0,2.21066137160061e-15,0,2.60716740913868e-09,0,6.73447613755775e-13,0,5.00364129655536e-09,0,1.29950429006284e-12,0,"proxy_partial","proxy_partial"
1,"AFG","Afghanistan","4","Eukaryota",NA,13,"Plantation_Minimal",1.5028480979068e-12,1.41405697556271,1.54745362217491e-16,1.27763314745964,3.05626409052876e-12,1.32969671897249,3.26582402775879e-16,1.17240446737858,3.02637154214173e-10,1.78817630953796,2.8502274954276e-14,1.27985962467838,6.26194956963695e-10,1.73425832275648,6.067019285018e-14,1.17885758219003,"proxy_type","proxy_type"
1,"AFG","Afghanistan","4","Eukaryota",NA,14,"Urban_Intense",3.03630408367908e-12,1.25872469335231,5.00693027138785e-16,0.441338430309939,4.87855090882453e-12,1.26783657832031,8.13335395952096e-16,0.774217908717815,1.22279752102329e-09,2.47335313788851,1.67915485825983e-13,1.02704696414512,1.96516099132439e-09,2.44352629802432,2.76541436539948e-13,1.26867069509325,"original","original"
1,"AFG","Afghanistan","4","Eukaryota",NA,15,"Urban_Light",1.2759304917446e-12,0.953440149963909,2.946885254044e-16,0.5015298951191,2.29563133882466e-12,1.1556363686546,5.06033811643456e-16,0.892584496161771,4.58316025502024e-10,1.99567211204109,9.54004606193656e-14,0.990809579675885,8.09201122354834e-10,1.91267359890567,1.64466944126103e-13,1.23136895879087,"original","original"
1,"AFG","Afghanistan","4","Eukaryota",NA,16,"Urban_Minimal",5.0397302900121e-13,1.726547413016,3.28673332994821e-16,1.59853017075795,8.86365295384817e-13,3.10705053710273,5.73496414083179e-16,3.01472134191181,1.72952387435609e-10,2.29079962887277,1.1243511310247e-13,2.15630323206095,3.32092971773312e-10,3.57939053241871,2.14684841785516e-13,3.49744668393618,"original","original"
2,"AGO","Angola","24","Eukaryota",NA,2,"Cropland_Intense",2.81758616906268e-12,1.35676357949569,2.82675441449774e-15,0.677723878698358,5.18942427717308e-12,2.2681071566257,4.58982428061383e-15,0.694967956246585,3.16710274477044e-10,1.97627677664294,2.58734788283733e-13,0.905519685716943,6.15372990301919e-10,2.99929588564524,4.28048344481454e-13,0.929445890413705,"proxy_partial","proxy_partial"
2,"AGO","Angola","24","Eukaryota",NA,3,"Cropland_Light",2.22490371765709e-12,1.32045380443401,2.30301114524424e-15,0.6117446246634,4.15787825448539e-12,2.2671430914509,3.76960019645817e-15,0.648204517444827,2.50365847328987e-10,1.93722240815113,2.12747874184141e-13,0.845459351087851,4.94849390505937e-10,3.00714752503053,3.55482437103077e-13,0.916955190459732,"proxy_partial","proxy_partial"
2,"AGO","Angola","24","Eukaryota",NA,4,"Cropland_Minimal",1.99490794408678e-12,1.34658877828339,2.09921058829457e-15,0.508038962121134,3.76528913422639e-12,2.26142283481542,3.4293200559351e-15,0.607079398453669,2.12855772615462e-10,1.9524118169393,1.88633389469216e-13,0.605417228761016,4.3398308979806e-10,3.05073966683563,3.17135460465931e-13,0.850931677586387,"original","original"
2,"AGO","Angola","24","Eukaryota",NA,5,"Managed_forest_Intense",1.53020234950539e-12,1.4085784794452,1.51385361563454e-15,0.713937362025158,2.77965966836315e-12,2.22046087781176,2.41127132056499e-15,0.728853262166702,1.67779191985152e-10,1.94798650866035,1.39856921301829e-13,0.92732568822306,3.25336089527523e-10,2.91402081337594,2.27219402159627e-13,0.923192796989138,"original","original"
2,"AGO","Angola","24","Eukaryota",NA,6,"Managed_forest_Light",7.51517478910774e-13,1.45809766462466,7.17976014818454e-16,0.806305755809915,1.34199766464563e-12,2.22883978304892,1.1296482068943e-15,0.811075207358803,8.20789477757913e-11,1.99397097976077,6.54769698268952e-14,1.01533352350072,1.55978534944786e-10,2.9138242751435,1.04571878382458e-13,0.968241723781957,"original","original"
