"species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality","weighting"
"Eukaryota",NA,9,"Pasture_Light",7.95381997257745e-12,5.98498251299511,3.34497264398488e-15,2.55589476387432,2.25872693706614e-11,28.2878197458093,6.79647635336936e-15,3.91752194207073,4.53757406449365e-09,7.25382480762024,7.76102441016903e-13,2.13015890796548,1.05263056963769e-08,24.0560962969677,1.69010301280249e-12,5.25125618299498,"original","ecoregion_area"
"Eukaryota",NA,10,"Pasture_Minimal",1.32859331977871e-11,6.43650790524656,2.18517626651187e-15,2.61214174193278,3.23215130328636e-11,23.8036185319711,4.52991155490845e-15,5.63905242889152,9.17790857203682e-09,6.79854537435923,7.05935256762618e-13,3.64246198484134,1.7916081201091e-08,17.2431432804153,1.426088116681e-12,6.9728023907062,"original","ecoregion_area"
"Eukaryota",NA,11,"Plantation_Intense",3.27784418573029e-12,4.84483307452867,5.81915871796875e-15,2.5890847500347,5.86993927584153e-12,3.67065547837952,1.03231480942817e-14,2.1179191538415,1.17903934061619e-09,2.72560741165772,1.46595996810118e-12,2.12404563893635,2.10512828190992e-09,2.22492081410749,2.62071570217183e-12,1.82880164361642,"original","ecoregion_area"
"Eukaryota",NA,12,"Plantation_Light",2.41704563764047e-12,2.20776290731029,3.89124488463927e-15,2.55057457452985,4.3516490963052e-12,1.89783067631092,6.72040423824661e-15,2.26663918796362,1.04311587931679e-09,2.61485956513078,1.01904445476091e-12,2.24691205818654,1.81629278223161e-09,2.34246825728635,1.77384720368966e-12,1.88931942916117,"original","ecoregion_area"
"Eukaryota",NA,13,"Plantation_Minimal",2.53232199505658e-12,6.13839467174014,5.24564399231141e-15,2.4870042516202,4.12144455953295e-12,4.47470426629353,9.02898134448057e-15,2.31110773281007,4.571575584585e-10,5.34601799543855,8.92990711777199e-13,2.58946489107801,7.35128598153674e-10,4.01576000250901,1.51209282601084e-12,2.42860217868489,"original","ecoregion_area"
"Eukaryota",NA,14,"Urban_Intense",2.8852943378586e-12,3.89004503736558,3.29348553128701e-15,2.19048058163833,2.74910434065911e-11,36.4366700414795,7.65890523928305e-15,7.08888818708416,1.23802361315781e-09,6.14030280899311,8.81371509665974e-13,2.03483852314169,1.08416673662096e-08,36.2154895833483,2.19009241148499e-12,9.48594780092976,"original","ecoregion_area"
"Eukaryota",NA,15,"Urban_Light",2.71974650319588e-12,4.06992293414115,2.11685274144043e-15,3.23316383329422,2.10857910440887e-11,40.6931228438234,4.63129126935145e-15,7.62437588242857,1.54292952838649e-09,5.11555647605686,5.58630983485181e-13,2.69007820750358,8.76203089970683e-09,38.3924272997295,1.32004535310562e-12,10.1206032253213,"original","ecoregion_area"
"Eukaryota",NA,16,"Urban_Minimal",1.48511965909364e-12,3.86121254523614,1.74407437625031e-15,5.02040808843324,1.83094615241339e-11,41.1440804221905,3.90613437380412e-15,7.04097975191773,6.98798231833169e-10,2.1088628477677,5.05743957634487e-13,3.16287011764185,7.34326437629506e-09,40.0416516782559,1.19541864117061e-12,8.3299205459145,"original","ecoregion_area"
"Eukaryota",NA,2,"Cropland_Intense",1.62327135147774e-11,2.35632638118794,9.25808543501061e-15,3.21106766516747,3.31542814693864e-11,18.9966458848613,1.60756118277847e-14,3.09928319435104,9.22525940711208e-09,2.59506115096688,2.34854294999248e-12,2.39565154630275,1.60125540506704e-08,15.4614189439814,4.04863689101582e-12,2.84540120441349,"proxy","ecoregion_area"
"Eukaryota",NA,3,"Cropland_Light",1.22243913531764e-11,2.30440911637896,7.24369287770019e-15,3.16948275136897,2.78097876291223e-11,22.6017578902657,1.28381096437637e-14,3.15974287302199,6.91348903015373e-09,2.51849699919592,1.8576865375053e-12,2.33494746677241,1.31063537999165e-08,18.8215970532833,3.27522883944547e-12,3.10901076828765,"proxy","ecoregion_area"
"Eukaryota",NA,4,"Cropland_Minimal",9.5375859969092e-12,2.34133363351448,5.61968231460256e-15,3.07029399168713,1.88371488450246e-11,17.2769458116562,9.79428751744798e-15,2.95659003835037,5.38239320847611e-09,2.56567123460658,1.4117212370846e-12,2.30990430029916,9.10786855591708e-09,14.0557020954311,2.43873744139338e-12,2.63898119798954,"proxy","ecoregion_area"
"Eukaryota",NA,5,"Managed_forest_Intense",1.96124724094185e-11,2.50913058882365,4.83248124751938e-15,3.82319567446327,2.44825759125789e-11,2.23268315849289,7.88464518406097e-15,3.33066638277079,1.25116359405326e-08,2.82308334317091,1.53370570488299e-12,2.67366214591619,1.45959104127384e-08,2.69041267950168,2.33018305233058e-12,2.36764903370601,"proxy","ecoregion_area"
"Eukaryota",NA,6,"Managed_forest_Light",7.8098988777892e-12,2.42333661410971,2.18126635252862e-15,3.25197986269179,1.00184856284578e-11,2.14519065802952,3.5659629683071e-15,2.83744368115456,4.71734729411286e-09,2.76094114715301,6.44911523888382e-13,2.35733330912227,5.6089984224702e-09,2.60439744629692,9.93815643458783e-13,2.08604916271877,"proxy","ecoregion_area"
"Eukaryota",NA,7,"Managed_forest_Minimal",2.1448362321724e-12,2.39442248347701,6.21635574195498e-16,3.08275201828423,2.77910260752331e-12,2.11647694983407,1.01607885651499e-15,2.67774272594035,1.26472775686062e-09,2.71830220589859,1.79064497197275e-13,2.28355293211113,1.51475142614683e-09,2.54785700301904,2.76888509744444e-13,2.01430950807059,"proxy","ecoregion_area"
"Eukaryota",NA,8,"Pasture_Intense",5.66985082855159e-11,7.07716460646034,7.29013394310578e-15,2.80759877764382,9.49103070090209e-11,11.1004395834812,1.24913075136972e-14,3.4093108975451,3.91833660585229e-08,7.32920546871407,3.10393120168131e-12,3.74363486910161,6.03187592370581e-08,8.97668249263535,4.99741315053007e-12,4.01195000919131,"proxy","ecoregion_area"
