"objectid","iso3cd","romnam","m49code","species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality_reg","quality_glo"
82,"IRN","Iran (Islamic Republic of)","364","Animalia","Animalia",5,"Managed_forest_Intense",7.37474625192257e-13,2.59100365941686,7.53248504763717e-16,0.0966121863990936,1.80820392618774e-12,5.71925771599027,1.33722058335827e-15,1.47929100048132,5.26402109714461e-10,1.09182759051344,6.10153438346893e-13,0.340919810053922,1.07890042841173e-09,3.52536743096226,1.01402653202327e-12,0.410925576253363,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Animalia","Animalia",6,"Managed_forest_Light",2.09274285595007e-13,1.44118691171523,1.63821565766141e-16,1.23705956641464,4.60014372609673e-13,2.19390814121196,3.72706191404979e-16,2.28561953505764,1.28802602158932e-10,1.62185466166963,1.04447896374686e-13,1.23025541230339,2.56007792696442e-10,1.79886799360698,2.13336153096997e-13,1.76752751038377,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Animalia","Animalia",7,"Managed_forest_Minimal",3.49275825410621e-14,1.41528048634747,2.91216655528475e-17,1.27524401977634,6.55800403881167e-14,1.85512751952254,6.37412681064708e-17,2.42364850270566,2.22329363327951e-11,1.68528509504973,1.86815065710067e-14,1.2554974486549,3.96762042112307e-11,1.71124632720826,3.71132650318411e-14,1.84433004627615,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Animalia","Animalia",8,"Pasture_Intense",2.90238421816631e-12,1.57442637940263,1.38933232525457e-15,1.01490843599079,4.84244774994341e-12,1.78125982121659,2.7227115494725e-15,2.03857799215526,1.38566140951877e-09,1.48883115132569,7.80584137757996e-13,1.15911214611061,2.32033184541704e-09,1.58755121104725,1.46945319204993e-12,1.71678191461803,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Animalia","Animalia",9,"Pasture_Light",2.90238421816631e-12,1.57442637940263,1.38933232525457e-15,1.01490843599079,4.84244774994341e-12,1.78125982121659,2.7227115494725e-15,2.03857799215526,1.38566140951877e-09,1.48883115132569,7.80584137757996e-13,1.15911214611061,2.32033184541704e-09,1.58755121104725,1.46945319204993e-12,1.71678191461803,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Animalia","Animalia",10,"Pasture_Minimal",2.83220142058383e-12,1.58145396706312,1.3472977765658e-15,1.00289664675329,4.71045464286045e-12,1.785244632712,2.62960008269327e-15,2.01741526357354,1.33904207303641e-09,1.48937912635333,7.50913743073304e-13,1.14932938374365,2.2369746393875e-09,1.58822350949242,1.40950270634655e-12,1.70052383880605,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Animalia","Animalia",11,"Plantation_Intense",1.02704892341628e-11,0.474023639471098,8.14316708179984e-15,1.07166931584488,1.86342642264821e-11,0.308856713679236,1.38642266044124e-14,0.810933917261232,4.46300266348773e-09,1.18661494142765,4.44672601239552e-12,1.61388926412284,7.24226976845291e-09,1.01018317237308,6.89804339657498e-12,1.47405361142838,"proxy_type","proxy_type"
82,"IRN","Iran (Islamic Republic of)","364","Animalia","Animalia",12,"Plantation_Light",1.02704892341628e-11,0.474023639471098,8.14316708179984e-15,1.07166931584488,1.86342642264821e-11,0.308856713679236,1.38642266044124e-14,0.810933917261232,4.46300266348773e-09,1.18661494142765,4.44672601239552e-12,1.61388926412284,7.24226976845291e-09,1.01018317237308,6.89804339657498e-12,1.47405361142838,"proxy_type","proxy_type"
82,"IRN","Iran (Islamic Republic of)","364","Animalia","Animalia",13,"Plantation_Minimal",9.78141831825027e-13,0.474023639471099,7.75539722076178e-16,1.07166931584488,1.77469183109354e-12,0.308856713679234,1.32040253375356e-15,0.810933917261229,4.25047872713118e-10,1.18661494142765,4.2349771546624e-13,1.61388926412284,6.89739977947898e-10,1.01018317237308,6.56956513959525e-13,1.47405361142838,"proxy_type","proxy_type"
82,"IRN","Iran (Islamic Republic of)","364","Animalia","Animalia",14,"Urban_Intense",1.63382476693873e-12,1.23585962651513,1.33402409109924e-15,1.30674655141297,3.39163812065885e-12,2.51294365054404,2.9780697009314e-15,2.59043273373621,7.46191254981221e-10,1.15568716542417,7.39306698969946e-13,1.37755053000067,1.53302107728167e-09,2.16162278789182,1.55168561682572e-12,2.17970348032843,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Animalia","Animalia",15,"Urban_Light",1.80483338571683e-12,1.11160754704075,1.36793834783243e-15,1.21945254951811,3.01233576600031e-12,1.65216313016111,2.79387223152315e-15,2.46456389096043,1.00648337714024e-09,1.55350665647016,8.17845617414731e-13,1.31269371080106,1.69649316784995e-09,1.69548003168507,1.57778754081689e-12,1.97389193335004,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Animalia","Animalia",16,"Urban_Minimal",1.56438394456107e-12,1.43365689383871,1.51101914575482e-15,1.36982197734975,2.91817529400433e-12,2.00787480442834,3.35717924133895e-15,2.59516819094951,9.45656169645074e-10,1.75217564123392,9.48566556967737e-13,1.32479676607475,1.67700553862021e-09,1.82130081079466,1.90761737385491e-12,1.99837596758411,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",2,"Cropland_Intense",4.13996105118553e-12,2.2659488863473,6.54453971203881e-16,1.41897892857295,6.52402515202404e-12,2.04357849716491,1.28570942621566e-15,2.0235023659514,1.77887993752025e-09,2.0261905258816,3.27273960319925e-13,1.3425855266432,2.90701821734811e-09,1.82281295613866,6.43476267460398e-13,1.73831510765026,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",3,"Cropland_Light",2.76235427236611e-12,2.26907705269477,4.37163020961337e-16,1.41882008313735,4.35053523257179e-12,2.04766241957475,8.58806309872123e-16,2.02376926870471,1.18787024939231e-09,2.02717977638269,2.18712239771747e-13,1.3414399557358,1.94059896239817e-09,1.82431505661287,4.30019302471328e-13,1.73735750615553,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",4,"Cropland_Minimal",1.08139790027908e-12,1.96430875785369,3.09761158255027e-16,2.12044197386815,2.2982673645864e-12,2.28914517186579,8.33582747917017e-16,3.11791116982696,6.01435843765601e-10,2.63552375534745,1.50579339314317e-13,2.40961938626516,1.25649209554459e-09,2.55555535726991,3.88049851914796e-13,2.86467808998991,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",5,"Managed_forest_Intense",1.20873493331566e-12,3.79180177858298,4.18254104816919e-16,0.10188621612196,2.47827364283196e-12,4.75797933357966,7.60490993114311e-16,0.140089624077321,7.55269889889278e-10,1.92300990690231,3.18564595288945e-13,0.439328950384592,1.46439788214272e-09,2.6785981074094,5.72814238315109e-13,0.318638467487272,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",6,"Managed_forest_Light",7.35288050847742e-13,1.78720509512609,2.16899843531072e-16,1.38249394496798,1.57330362856798e-12,2.07679794037147,5.16655013444739e-16,2.30763391946439,4.19849551206236e-10,1.83907577190919,1.27916949493726e-13,1.36188556842734,8.63316773952777e-10,1.87141593245021,2.83143880975622e-13,1.8139130612977,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",7,"Managed_forest_Minimal",2.1246161766788e-13,1.99320808560091,6.73420498087856e-17,1.4099880714269,4.22662969237515e-13,1.97938899658327,1.59860770983538e-16,2.36222315424936,1.25834229556954e-10,1.99557528768919,3.97562086987557e-14,1.37620277623463,2.46820192523007e-10,1.93918052998854,8.77249290508233e-14,1.84129825656671,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",8,"Pasture_Intense",2.46678584204316e-12,0.377344045904377,1.7290847534822e-15,0.644034498109106,1.03779707536437e-11,0.635310119619461,7.32946139822049e-15,0.705393938853971,9.70014509749343e-10,0.48659770869415,6.82106504411953e-13,0.670104439268855,4.09358820454346e-09,0.664057139533168,2.89352087746024e-12,0.712160244236905,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",9,"Pasture_Light",1.91075125439332e-12,2.2659488863473,3.02055679017176e-16,1.41897892857295,3.0110885317034e-12,2.04357849716491,5.93404350561072e-16,2.0235023659514,8.21021509624728e-10,2.02619052588161,1.51049520147657e-13,1.3425855266432,1.34170071569912e-09,1.82281295613866,2.96989046520183e-13,1.73831510765026,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",10,"Pasture_Minimal",3.71534966132035e-13,2.2659488863473,5.87330486977842e-17,1.41897892857295,5.85489436720106e-13,2.04357849716491,1.15384179275764e-16,2.02350236595139,1.58588096020728e-10,2.02619052600147,2.91766482645813e-14,1.34258552666948,2.59162225880217e-10,1.82281295621857,5.73662527380605e-14,1.73831510770291,"original","original"
