"species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality","weighting"
"Animalia","Animalia",12,"Plantation_Light",6.26555657992535e-12,1.47803958364669,1.24290200076143e-14,2.10656692391195,1.08225087063308e-11,1.3774671553542,2.16558234148755e-14,1.93424914862058,3.24378253948831e-09,1.73634619027727,3.96655890869017e-12,1.70971828020085,5.47882709614778e-09,1.65029622956261,6.78886418309994e-12,1.57646181585727,"original","land_use"
"Animalia","Animalia",13,"Plantation_Minimal",4.62804860459047e-12,2.51743389757606,1.43442797576843e-14,1.68628346627864,8.06735306629067e-12,1.75970263057976,2.64821290890836e-14,1.51582033706409,8.80571512539491e-10,2.327450328943,2.75072206738597e-12,1.90745141455005,1.5027746826186e-09,1.7185365207311,4.9477723903358e-12,1.6707247510695,"original","land_use"
"Animalia","Animalia",14,"Urban_Intense",5.98379244855725e-12,1.83483201396378,7.48156247675793e-15,2.73634296929361,7.120349644408e-11,31.5374015532729,1.91691455863927e-14,7.45889162801211,2.49651476457674e-09,2.01324137456697,2.46446030684708e-12,2.04967130434766,2.80510816883239e-08,31.4176870037783,6.4914732049518e-12,8.44730582859567,"original","land_use"
"Animalia","Animalia",15,"Urban_Light",5.31931429661398e-12,2.22328095185351,5.76003521207908e-15,2.71335672141708,2.04194910119494e-10,22.2094819203372,1.75999891951767e-14,7.9156424254573,2.50906883043803e-09,1.70114495750336,2.10214428108944e-12,1.60848897923824,8.09726251111184e-08,21.9285239161361,6.65945225868464e-12,8.05399445995169,"original","land_use"
"Animalia","Animalia",16,"Urban_Minimal",4.73588388207559e-12,2.87835928651469,5.52040650158552e-15,3.94440720187463,6.51809783565396e-11,30.5160695164914,1.12191806427357e-14,6.50108553264115,2.22476768133299e-09,1.57757479360949,1.8319729368708e-12,2.29162391497656,2.63865601374799e-08,29.4331707650552,4.0160669027965e-12,6.60164649723203,"original","land_use"
"Plantae","Plantae",2,"Cropland_Intense",3.75380274138758e-12,2.16856658715614,2.96514185679346e-15,2.45640201122118,1.29995842238427e-11,1.81549208029529,8.15065506469905e-15,1.96546105336778,1.32184679447695e-09,1.89030959184139,8.7641745988361e-13,1.72022527804099,4.98976834046776e-09,1.63325037396394,2.66644561105744e-12,1.32127530602191,"original","land_use"
"Plantae","Plantae",3,"Cropland_Light",2.45816797596084e-12,3.14137231867689,3.13823024280659e-15,2.68737464818583,7.79465627829036e-12,2.01831568953999,7.25556326538249e-15,2.16514059420498,7.86960924951874e-10,2.03059947379155,8.37134978027844e-13,2.37702524788085,2.77298825735941e-09,1.4351735723725,2.0787132482832e-12,1.78168417095786,"original","land_use"
"Plantae","Plantae",4,"Cropland_Minimal",1.92715040417988e-12,5.69942847801177,2.50519080142536e-15,1.96181995764973,4.29157257477434e-12,4.9029111621071,4.94153963342134e-15,2.40356716395649,4.08149693272313e-10,11.6674363193226,3.299690628206e-13,3.44651278482519,1.03304869077615e-09,10.9883817238401,7.03851337232034e-13,3.7942800336918,"original","land_use"
"Plantae","Plantae",5,"Managed_forest_Intense",2.90245635076001e-12,2.7549157908504,5.73238439646029e-15,2.17321738316521,5.46070747709555e-12,2.3235537991256,1.08962052822992e-14,2.29567127145974,7.01623215166239e-10,2.54106620195085,9.9247798504684e-13,2.47203328035378,1.45862575640595e-09,2.56277266514345,1.93439063507554e-12,2.49879032796699,"original","land_use"
"Plantae","Plantae",6,"Managed_forest_Light",1.8171520077107e-12,2.75278404486422,2.76179606366757e-15,2.58901135131106,3.65072088794757e-12,2.28693159183504,5.40105142238268e-15,2.4149914238087,6.75202027000533e-10,2.61192455330962,6.55568306146029e-13,2.18498578030531,1.46374582935491e-09,2.17925219375444,1.34874147511455e-12,2.04786951991344,"original","land_use"
"Plantae","Plantae",7,"Managed_forest_Minimal",7.24207080510803e-13,4.78843249809834,9.38198532466436e-16,2.44638540293394,1.23728622700623e-12,3.61175874622579,1.59832279866832e-15,2.20909046593568,2.90918832079898e-10,5.47660862689001,2.61577468280139e-13,1.98839338015113,5.22724637789513e-10,3.68991112458917,4.77126294430099e-13,1.94268938031942,"original","land_use"
"Plantae","Plantae",8,"Pasture_Intense",3.20243635568874e-12,1.84599615063767,3.75085826334913e-15,2.05859606466171,1.02639549230267e-11,2.01136384390683,9.90112436852676e-15,2.15142742385513,1.17115862371632e-09,1.55832729199913,1.0124267616549e-12,1.56132111475333,4.14356731903856e-09,1.76548396492563,2.78407795947019e-12,1.50540179394434,"original","land_use"
"Plantae","Plantae",9,"Pasture_Light",1.67796310575181e-12,2.78012079301977,2.62927164665813e-15,2.32414384779454,3.70529009398265e-12,2.31051707424259,6.19415532059769e-15,3.06654434697575,4.34748834166598e-10,3.99497404355041,5.02955918503837e-13,2.45770415954329,1.03852970104636e-09,2.95123338635722,1.20559140702417e-12,2.88460689957108,"original","land_use"
"Plantae","Plantae",10,"Pasture_Minimal",7.73359241882408e-13,11.6480077275309,3.15455126895404e-16,3.60099407906888,1.12837227954371e-12,11.7292173150331,4.96829809811881e-16,3.3107532042603,3.70991918540525e-10,16.9285822096075,6.87827800937605e-14,3.7082630998104,5.35737612870304e-10,17.2363436651827,1.12139633471563e-13,3.43268981934533,"original","land_use"
"Plantae","Plantae",11,"Plantation_Intense",5.68013178403616e-12,3.88958452766257,7.43858571783283e-15,1.14443572619313,9.85717996265294e-12,2.78953211121123,1.3286957886061e-14,1.22687260181004,2.12671458506688e-09,2.69957411297035,2.18762507423078e-12,0.951139626336747,3.87436040293365e-09,2.13609472935759,3.86867830695483e-12,1.06255002210422,"original","land_use"
